reaction_id,substrate_smiles,substrate_class,leaving_group,reagent_smiles,reagent_role,solvent_type,temperature_class,mechanism_class
189,CCCCI,1°,I,CC[O-],strong_base,polar_aprotic,heat,SN2
190,CC(C)Br,2°,Br,Cl,acid,polar_aprotic,room_temp,other
191,CCC(C)(C)Br,3°,Br,CC[O-],strong_base,polar_aprotic,room_temp,E2
192,CBr,methyl,Br,[OH-],strong_base,polar_aprotic,low,SN2
193,CI,methyl,I,Cl,acid,non_polar,room_temp,other
194,CC(C)I,2°,I,CO,weak_nucleophile,non_polar,low,other
195,CCC,alkane,None,Br2,radical_source,polar_protic,heat,radical_substitution
196,CC(C)Br,2°,Br,Cl,acid,polar_protic,room_temp,other
197,BrC1CCCCC1,2°,Br,CO,weak_nucleophile,polar_protic,room_temp,SN1
198,CCCCl,1°,Cl,CC[O-],strong_base,polar_aprotic,low,SN2
199,CBr,methyl,Br,I-,strong_nucleophile,polar_protic,heat,SN2
200,CCC(C)Cl,2°,Cl,Br,acid,polar_aprotic,room_temp,other
201,BrC1CCCCC1,2°,Br,I-,strong_nucleophile,polar_protic,low,other
202,CC(C)Br,2°,Br,I-,strong_nucleophile,polar_protic,heat,other
203,CCl,methyl,Cl,[OH-],strong_base,non_polar,low,SN2
204,CCCCI,1°,I,O,weak_nucleophile,polar_aprotic,low,SN2
205,C=CC,alkene,None,Cl2,radical_source,polar_protic,low,electrophilic_addition
206,CCBr,1°,Br,Br2,radical_source,polar_aprotic,low,other
207,C=C(C)C,alkene,None,Br2,radical_source,polar_protic,low,electrophilic_addition
208,CCCCI,1°,I,O,weak_nucleophile,polar_aprotic,room_temp,SN2
209,CCBr,1°,Br,Cl2,radical_source,polar_aprotic,low,other
210,CI,methyl,I,RS-,strong_nucleophile,polar_protic,heat,SN2
211,CCC(C)(C)Br,3°,Br,Br,acid,polar_aprotic,heat,other
212,BrC1CCCCC1,2°,Br,Cl,acid,polar_aprotic,heat,other
213,CC(C)(C)Br,3°,Br,Br,acid,polar_protic,heat,other
214,CCBr,1°,Br,CC[O-],strong_base,polar_protic,room_temp,SN2
215,CCC(C)Cl,2°,Cl,Br,acid,non_polar,heat,other
216,C=C,alkene,None,Br,acid,polar_protic,low,electrophilic_addition
217,CC(C)Br,2°,Br,[OH-],strong_base,polar_protic,low,other
218,CC(C)CBr,1°,Br,CO,weak_nucleophile,polar_protic,room_temp,SN2
219,CC(C)CBr,1°,Br,I-,strong_nucleophile,polar_aprotic,heat,SN2
220,CC(C)I,2°,I,RS-,strong_nucleophile,non_polar,room_temp,other
221,CCC(C)(C)I,3°,I,[OH-],strong_base,polar_protic,heat,E2
222,CCBr,1°,Br,CO,weak_nucleophile,polar_aprotic,room_temp,SN2
223,CCC(C)(C)I,3°,I,CO,weak_nucleophile,polar_protic,room_temp,SN1
224,CCC(C)(C)I,3°,I,[OH-],strong_base,polar_aprotic,room_temp,E2
225,CCCCl,1°,Cl,RS-,strong_nucleophile,polar_aprotic,low,SN2
226,C=CC,alkene,None,Cl,acid,non_polar,room_temp,electrophilic_addition
227,CCC,alkane,None,Cl2,radical_source,polar_aprotic,heat,radical_substitution
228,C=C,alkene,None,Cl,acid,non_polar,room_temp,electrophilic_addition
229,CI,methyl,I,O,weak_nucleophile,polar_aprotic,room_temp,SN2
230,CC(C)I,2°,I,I-,strong_nucleophile,polar_protic,heat,other
231,CI,methyl,I,I-,strong_nucleophile,polar_aprotic,room_temp,SN2
232,CCBr,1°,Br,RS-,strong_nucleophile,polar_protic,heat,SN2
233,CCCCI,1°,I,Br,acid,polar_aprotic,room_temp,other
234,CBr,methyl,Br,CN-,strong_nucleophile,polar_protic,low,SN2
235,CI,methyl,I,CN-,strong_nucleophile,polar_aprotic,room_temp,SN2
236,CI,methyl,I,O,weak_nucleophile,polar_aprotic,room_temp,SN2
237,CCC(C)(C)Br,3°,Br,CO,weak_nucleophile,polar_protic,heat,E1
238,BrC1CCCCC1,2°,Br,CN-,strong_nucleophile,polar_aprotic,room_temp,SN2
239,CCC(C)(C)I,3°,I,RS-,strong_nucleophile,polar_protic,low,other
240,CCCCI,1°,I,CN-,strong_nucleophile,polar_aprotic,room_temp,SN2
241,CBr,methyl,Br,I-,strong_nucleophile,non_polar,heat,SN2
242,CC(C)CBr,1°,Br,RS-,strong_nucleophile,polar_aprotic,heat,SN2
243,CCC(C)Cl,2°,Cl,Cl2,radical_source,polar_protic,heat,other
244,CCC(C)(C)I,3°,I,Br2,radical_source,non_polar,room_temp,other
245,CCBr,1°,Br,CC[O-],strong_base,non_polar,heat,SN2
246,CC(C)CBr,1°,Br,CN-,strong_nucleophile,non_polar,heat,SN2
247,CCC(C)(C)I,3°,I,[OH-],strong_base,polar_protic,room_temp,E2
248,CCCCI,1°,I,Cl2,radical_source,polar_aprotic,low,other
249,BrC1CCCCC1,2°,Br,Cl,acid,polar_protic,heat,other
250,CBr,methyl,Br,Cl,acid,polar_aprotic,heat,other
251,CC(C)(C)Br,3°,Br,CO,weak_nucleophile,polar_aprotic,low,other
252,BrC1CCCCC1,2°,Br,CC[O-],strong_base,non_polar,low,other
253,CCCCl,1°,Cl,CN-,strong_nucleophile,polar_protic,room_temp,SN2
254,CCBr,1°,Br,Br,acid,polar_protic,room_temp,other
255,CC(C)(C)Cl,3°,Cl,Cl,acid,polar_aprotic,heat,other
256,CCCCl,1°,Cl,Br2,radical_source,polar_aprotic,heat,other
257,CCCCI,1°,I,Cl,acid,polar_aprotic,heat,other
258,CC(C)CBr,1°,Br,O,weak_nucleophile,polar_protic,low,SN2
259,CCl,methyl,Cl,I-,strong_nucleophile,polar_aprotic,low,SN2
260,CCl,methyl,Cl,CO,weak_nucleophile,polar_aprotic,room_temp,SN2
261,CC(C)(C)Cl,3°,Cl,[OH-],strong_base,polar_aprotic,room_temp,E2
262,CC(C)(C)Br,3°,Br,CO,weak_nucleophile,non_polar,heat,other
263,CC(C)(C)Cl,3°,Cl,[OH-],strong_base,polar_protic,heat,E2
264,CC(C)C,alkane,None,Br2,radical_source,polar_aprotic,room_temp,radical_substitution
265,CC(C)(C)Br,3°,Br,Cl,acid,polar_aprotic,low,other
266,CCCCI,1°,I,CC[O-],strong_base,polar_protic,low,SN2
267,CBr,methyl,Br,Cl,acid,non_polar,low,other
268,CBr,methyl,Br,CN-,strong_nucleophile,polar_aprotic,low,SN2
269,CC(C)CBr,1°,Br,CN-,strong_nucleophile,polar_protic,room_temp,SN2
270,CBr,methyl,Br,CO,weak_nucleophile,non_polar,heat,SN2
271,C=C(C)C,alkene,None,Br2,radical_source,non_polar,low,electrophilic_addition
272,CBr,methyl,Br,Cl,acid,polar_aprotic,room_temp,other
273,BrC1CCCCC1,2°,Br,RS-,strong_nucleophile,polar_protic,heat,other
274,CC(C)(C)Cl,3°,Cl,O,weak_nucleophile,polar_protic,low,SN1
275,CC(C)(C)Br,3°,Br,CO,weak_nucleophile,polar_aprotic,heat,other
276,CCC(C)(C)Br,3°,Br,Cl2,radical_source,polar_aprotic,heat,other
277,CCBr,1°,Br,O,weak_nucleophile,polar_aprotic,low,SN2
278,CCBr,1°,Br,CC[O-],strong_base,non_polar,low,SN2
279,CC(C)I,2°,I,CC[O-],strong_base,polar_protic,room_temp,other
280,CBr,methyl,Br,CN-,strong_nucleophile,polar_aprotic,low,SN2
281,CCl,methyl,Cl,RS-,strong_nucleophile,polar_aprotic,room_temp,SN2
282,C=C,alkene,None,Br,acid,polar_protic,room_temp,electrophilic_addition
283,CCC(C)(C)I,3°,I,CC[O-],strong_base,non_polar,heat,E2
284,CC(C)Br,2°,Br,I-,strong_nucleophile,non_polar,room_temp,other
285,BrC1CCCCC1,2°,Br,I-,strong_nucleophile,polar_protic,low,other
286,C1CCCCC1,alkane,None,Br2,radical_source,non_polar,room_temp,radical_substitution
287,CCCCI,1°,I,CC[O-],strong_base,polar_aprotic,low,SN2
288,CCl,methyl,Cl,CO,weak_nucleophile,polar_protic,low,SN2
289,CCC(C)(C)Br,3°,Br,CN-,strong_nucleophile,polar_aprotic,room_temp,other
290,CC(C)CBr,1°,Br,Br,acid,non_polar,low,other
291,CC(C)I,2°,I,Br2,radical_source,polar_protic,room_temp,other
292,CCCCI,1°,I,CO,weak_nucleophile,polar_protic,low,SN2
293,CCC(C)Cl,2°,Cl,[OH-],strong_base,non_polar,low,other
294,CC(C)(C)Cl,3°,Cl,CO,weak_nucleophile,polar_aprotic,room_temp,other
295,CC(C)(C)Br,3°,Br,Cl2,radical_source,non_polar,room_temp,other
296,CCC(C)(C)I,3°,I,Cl,acid,non_polar,heat,other
297,BrC1CCCCC1,2°,Br,CO,weak_nucleophile,polar_protic,room_temp,SN1
298,CC(C)(C)Cl,3°,Cl,I-,strong_nucleophile,polar_protic,heat,other
299,CC(C)I,2°,I,CO,weak_nucleophile,non_polar,low,other
300,CBr,methyl,Br,CC[O-],strong_base,polar_protic,heat,SN2
301,CC(C)(C)Br,3°,Br,RS-,strong_nucleophile,polar_protic,room_temp,other
302,C=CC,alkene,None,Br2,radical_source,polar_aprotic,room_temp,electrophilic_addition
303,CCCCl,1°,Cl,[OH-],strong_base,polar_protic,room_temp,SN2
304,CC(C)CBr,1°,Br,Cl,acid,polar_aprotic,room_temp,other
305,CCC,alkane,None,Br2,radical_source,polar_protic,room_temp,radical_substitution
306,CBr,methyl,Br,RS-,strong_nucleophile,non_polar,room_temp,SN2
307,C=CC,alkene,None,Br,acid,polar_aprotic,heat,electrophilic_addition
308,CBr,methyl,Br,Cl2,radical_source,non_polar,room_temp,other
309,CC(C)I,2°,I,I-,strong_nucleophile,polar_protic,low,other
310,CCl,methyl,Cl,Br2,radical_source,polar_aprotic,low,other
311,CCC(C)(C)Br,3°,Br,I-,strong_nucleophile,non_polar,heat,other
312,CC(C)(C)Cl,3°,Cl,CC[O-],strong_base,non_polar,heat,E2
313,CCBr,1°,Br,Br2,radical_source,polar_protic,low,other
314,CC(C)Br,2°,Br,CO,weak_nucleophile,polar_aprotic,room_temp,other
315,CCC(C)(C)Br,3°,Br,[OH-],strong_base,polar_protic,heat,E2
316,CCCCI,1°,I,RS-,strong_nucleophile,non_polar,room_temp,SN2
317,CI,methyl,I,Br2,radical_source,polar_aprotic,low,other
318,CC(C)Br,2°,Br,Cl,acid,polar_aprotic,low,other
319,CC(C)I,2°,I,[OH-],strong_base,polar_protic,heat,E2
320,CC(C)(C)Cl,3°,Cl,I-,strong_nucleophile,polar_protic,low,other
321,CC(C)Br,2°,Br,Br2,radical_source,non_polar,low,other
322,BrC1CCCCC1,2°,Br,CC[O-],strong_base,polar_protic,low,other
323,CCC,alkane,None,Br2,radical_source,non_polar,room_temp,radical_substitution
324,CCC(C)(C)Br,3°,Br,Cl,acid,non_polar,heat,other
325,CC(C)I,2°,I,CN-,strong_nucleophile,non_polar,room_temp,other
326,CCC(C)Cl,2°,Cl,I-,strong_nucleophile,polar_aprotic,room_temp,SN2
327,CC(C)(C)Cl,3°,Cl,Br2,radical_source,polar_aprotic,heat,other
328,CCC(C)(C)Br,3°,Br,Br,acid,polar_protic,heat,other
329,CC(C)CBr,1°,Br,O,weak_nucleophile,non_polar,room_temp,SN2
330,CCl,methyl,Cl,I-,strong_nucleophile,non_polar,room_temp,SN2
331,CCC(C)(C)I,3°,I,CN-,strong_nucleophile,polar_aprotic,low,other
332,CCC(C)(C)I,3°,I,Br,acid,polar_aprotic,low,other
333,CBr,methyl,Br,RS-,strong_nucleophile,non_polar,heat,SN2
334,CCC,alkane,None,Br2,radical_source,polar_protic,room_temp,radical_substitution
335,CCC(C)Cl,2°,Cl,Cl,acid,polar_protic,room_temp,other
336,CC(C)CBr,1°,Br,I-,strong_nucleophile,polar_protic,low,SN2
337,CCC(C)Cl,2°,Cl,Cl2,radical_source,polar_protic,heat,other
338,C=C,alkene,None,Cl,acid,polar_aprotic,heat,electrophilic_addition
339,CCBr,1°,Br,Br,acid,non_polar,low,other
340,BrC1CCCCC1,2°,Br,[OH-],strong_base,polar_protic,room_temp,other
341,BrC1CCCCC1,2°,Br,Br2,radical_source,non_polar,room_temp,other
342,BrC1CCCCC1,2°,Br,CN-,strong_nucleophile,polar_aprotic,heat,SN2
343,CC(C)(C)Cl,3°,Cl,Br2,radical_source,polar_protic,heat,other
344,CC(C)(C)Cl,3°,Cl,Br2,radical_source,polar_aprotic,low,other
345,CCCCI,1°,I,Cl2,radical_source,polar_aprotic,heat,other
346,CCCCI,1°,I,Cl,acid,polar_protic,heat,other
347,CCCCl,1°,Cl,O,weak_nucleophile,non_polar,heat,SN2
348,CC(C)(C)Cl,3°,Cl,CC[O-],strong_base,polar_aprotic,low,E2
349,CCC(C)Cl,2°,Cl,[OH-],strong_base,polar_aprotic,room_temp,other
350,CCC(C)Cl,2°,Cl,CC[O-],strong_base,polar_aprotic,room_temp,other
351,CCCCl,1°,Cl,CO,weak_nucleophile,non_polar,low,SN2
352,CCC(C)(C)I,3°,I,Br2,radical_source,polar_protic,heat,other
353,CC(C)I,2°,I,O,weak_nucleophile,polar_protic,room_temp,SN1
